gas,PID,Type,SMILES
O2,LP91,semi-ladder,CC12C3=C(C=CC=C3)C(C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=CC(=C1)C(C1=CC=C(O)C(*)=C1)(C(F)(F)F)C(F)(F)F
O2,LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1
O2,LP50,semi-ladder,*OC1=C2C3C4=C(C=CC=C4)C(C4=C3C=CC=C4)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C=C1
O2,LP98,ladder,*CN1CN(*)CC2=C1C=CC1=CC3=C(C=C21)C1CC3C2=C1C=C1C=CC3=C(CN(*)CN3C*)C1=C2
O2,LP77,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2CC(C4)C3=C(C2)C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1
O2,LP93,semi-ladder,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NC2=CC3=C(C=C2O1)C1=C(C=CC=C1)C31C2=C(C=CC=C2)C2=C1C=C1OC(*)=NC1=C2)C(F)(F)F
O2,LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O
O2,LP32,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)C=C1
O2,LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1
O2,LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C
O2,LP17,ladder,CC1(C)CCC(C)(C)C2=CC3=CC4=C(C=C3C=C12)C1C2=C(C=C(*)C(*)=C2)C4C2=C1C=C1CN(*)CN(*)C1=C2
