PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CH4,CH4_log10
Perm139,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.2333569262,0.0077421081007369,10,0.5043780922484206,0.1912983224524284,0.179,-0.7471469690201068
Perm2,Substituted Polyacetylenes,*C(=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1)C1=CC=CC=C1,0.8624997109000001,0.012608478029274,10,0.5655972525336848,0.3658242931650213,2400.0,3.380211241711606
Perm3,Substituted Polyacetylenes,*C(=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,0.9004137235099999,0.012034427225006,10,0.5620911241531983,0.3420510693340861,1450.0,3.161368002234975
Perm4,Substituted Polyacetylenes,*C(=C(*)C1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1,0.8735587305,0.0104052659771213,10,0.5779474456395146,0.3436676520188562,170.0,2.230448921378274
Perm6,Substituted Polyacetylenes,*C(=C(*)C1=CC=C2C3=C(C=CC=C3)C3(CC3)C2=C1)C1=CC=CC=C1,0.82358907564,0.0096575608775921,10,0.5691612238059106,0.3906185439342265,810.0,2.90848501887865
Perm7,Substituted Polyacetylenes,*C(=C(*)C1=CC=C2CCCC2=C1)C1=CC=CC=C1,0.8083088407500001,0.0102339531634355,10,0.5839613533357622,0.3863725380750794,60.0,1.7781512503836436
Perm8,Substituted Polyacetylenes,*C(=C(*)C1=CC=CC=C1)C1=CC=CC=C1,0.8305004782400001,0.0089458219935983,10,0.5825707123783551,0.3710271681895061,3700.0,3.568201724066995
Perm9,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1497242726,0.0070644421270412,10,0.5259264286845257,0.2139285051414382,0.069,-1.1611509092627446
Perm10,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1537236766,0.0089421825060733,10,0.525352663851894,0.2120546510939455,0.1,-1.0
Perm11,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=CC(=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1451486112,0.0078520090701534,10,0.5259585758131321,0.2170090475665204,0.0276,-1.5590909179347823
Perm13,Polyimides and Polypyrrolones,*C1=CC(C(=O)C2=CC=CC=C2)=C(*)C=C1,0.95748664936,0.0065972273496167,10,0.548760706572005,0.3169396346931281,0.36,-0.44369749923271273
Perm15,Polyimides_NEW,*C1=CC2=C(OC3=CC(=CC=C3O2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC3=C(OC4=C(O3)C=CC(*)=C4)C=C2)C=C1,0.91603189125,0.0085884273370243,10,0.5139256587226898,0.3879960189418581,0.56,-0.25181197299379954
