PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,H2,H2_log10
Perm2,Substituted Polyacetylenes,*C(=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1)C1=CC=CC=C1,0.8624997109000001,0.012608478029274,10,0.5655972525336848,0.3658242931650213,3650.0,3.5622928644564746
Perm3,Substituted Polyacetylenes,*C(=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,0.9004137235099999,0.012034427225006,10,0.5620911241531983,0.3420510693340861,2500.0,3.3979400086720375
Perm4,Substituted Polyacetylenes,*C(=C(*)C1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1,0.8735587305,0.0104052659771213,10,0.5779474456395146,0.3436676520188562,440.0,2.6434526764861874
Perm6,Substituted Polyacetylenes,*C(=C(*)C1=CC=C2C3=C(C=CC=C3)C3(CC3)C2=C1)C1=CC=CC=C1,0.82358907564,0.0096575608775921,10,0.5691612238059106,0.3906185439342265,1400.0,3.146128035678238
Perm7,Substituted Polyacetylenes,*C(=C(*)C1=CC=C2CCCC2=C1)C1=CC=CC=C1,0.8083088407500001,0.0102339531634355,10,0.5839613533357622,0.3863725380750794,360.0,2.5563025007672873
Perm9,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1497242726,0.0070644421270412,10,0.5259264286845257,0.2139285051414382,7.5,0.8750612633917001
Perm10,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1537236766,0.0089421825060733,10,0.525352663851894,0.2120546510939455,9.2,0.9637878273455552
Perm11,Poly(aryl ethers) and Poly(aryl ether ketones),*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=CC(=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1451486112,0.0078520090701534,10,0.5259585758131321,0.2170090475665204,5.3,0.724275869600789
Perm13,Polyimides and Polypyrrolones,*C1=CC(C(=O)C2=CC=CC=C2)=C(*)C=C1,0.95748664936,0.0065972273496167,10,0.548760706572005,0.3169396346931281,27.37,1.4372747974101237
Perm16,High Temperature Polymers,*C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(*)C=C3C2=O)C=C1,1.1488317112,0.0067174805045287,10,0.5009245422339081,0.2518786012523454,14.3,1.1553360374650619
