PID,Name,Type,SMILES,H2,CO2,O2,N2,CH4,Link
LP0,PIM-1,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(C#N)=C(*)C(*)=C4C#N)C2=CC(O*)=C(O*)C=C12,3600.0,6500.0,1300.0,342.0,430.0,https://pubs.rsc.org/en/content/articlelanding/2018/TA/C8TA00509E; https://www.sciencedirect.com/science/article/abs/pii/S0376738821007080; https://www.mdpi.com/2077-0375/10/11/328
LP1,PIM-Btrip,ladder,CC12C3=CC(O*)=C(O*)C=C3C(C)(C3=C1C=C1OC4=C(OC1=C3)C(C#N)=C(*)C(*)=C4C#N)C1=C2C=C2C=CC=CC2=C1,12100.0,21500.0,4330.0,1190.0,1690.0,https://doi.org/10.1039/C9EE01384A
LP10,PIM-SBF-4,ladder,CC1=CC2=C(C=C1)C1=CC(O*)=C(O*)C=C1C21C2=C(C=CC(C)=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,4900.0,10600.0,1760.0,474.0,834.0,https://doi.org/10.1039/C8TA02601G
LP100,6FDA-DAT1,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C,198.0,120.0,25.4,4.7,3.2,https://doi.org/10.1002/marc.201700303
LP101,6FDA-HSBF,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C,162.0,100.0,19.3,3.8,2.4,https://doi.org/10.1002/marc.201700303
LP102,PIM-6FDA-OH,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12,181.0,119.0,23.8,5.5,3.4,https://doi.org/10.1002/marc.201700303
LP103,6FDA-HTB,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C,167.0,67.0,13.6,2.26,0.92,http://dx.doi.org/10.1021/acs.macromol.7b02301
LP104,SBI-HTB,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O,467.0,466.0,75.7,16.6,16.3,http://dx.doi.org/10.1021/acs.macromol.7b02301
LP106,TPDA-APAF,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1O)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(O)C=C1)(C(F)(F)F)C(F)(F)F,,99.0,,,2.6,http://dx.doi.org/10.1016/j.memsci.2014.10.046
LP11,PIM-SBF-5,ladder,CC(C)(C)C1=CC2=C(C=C1)C1=CC(O*)=C(O*)C=C1C21C2=C(C=CC(=C2)C(C)(C)C)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,5590.0,16400.0,2750.0,1080.0,2480.0,https://doi.org/10.1039/C8TA02601G
