selection_id,SMILES
SLP8701,*C1=CC=C2C(=C1)C1(C)CCC2(C)C2=C1C=CC(N1C(=O)C3=C(C=C4C(=C3)C3(C(C)C)C5=C(C=CC=C5)C4(C(C)C)C4=C3C=C3C(=O)N(*)C(=O)C3=C4)C1=O)=C2
SLP29977,*c1ccc2c(c1)C1C(C)(C)c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3C21C
SLP30549,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=C)C(=O)N(*)C6=O)cc3C2c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C
SLP77110,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1
SLP30577,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=O)C(=O)N(*)C6=O)cc3C2c2ccc3c(c21)C=C1C(C3)C(C)(C)CCC1(C)C
SLP8834,*C1=CC=C2C(=C1)C1C3=CC=C(N4C(=O)C5=C(C=C6C(=C5)C5(C)C7=C(C=CC=C7)C6(C)C6=C5C=C5C(=O)N(*)C(=O)C5=C6)C4=O)C=C3C2C2=C1C=C1C=C3C(=CC1=C2)C(C)(C)CCC3(C)C
SLP74737,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C
SLP8822,*C1=CC=C2C(=C1)C1C3=CC=C(N4C(=O)C5=C(C=C6C(=C5)C(=O)C5CC6C(=O)C6=C5C=C5C(=O)N(*)C(=O)C5=C6)C4=O)C=C3C2C2=CC3=CC4=C(C=C3C=C21)C(C)(C)CCC4(C)C
SLP76531,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C
SLP8712,*C1=CC=C2C(=C1)C1(C)CCC2(C)C2=C1C=CC(N1C(=O)C3=CC=C(C(C4=CC5=C(C=C4)C(=O)N(*)C5=O)(C(C)(C)C)C(C)(C)C)C=C3C1=O)=C2
SLP8825,*C1=CC=C2C(=C1)C1C3=CC=C(N4C(=O)C5=C(C=C6C(=C5)C(=O)C5CC6C(=O)C6=CC7=C(C=C65)C(=O)N(*)C7=O)C4=O)C=C3C2C2=CC3=CC4=C(C=C3C=C21)C(C)(C)CCC4(C)C
SLP34874,*c1cccc(C2c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3Cc3cc4cc5c(cc4cc32)C(C)(C)CCC5(C)C)c1
SLP8823,*C1=CC=C2C(=C1)C1C3=CC=C(N4C(=O)C5=C(C=C6C(=C5)C(=O)C5CC6C(=O)C6=CC7=C(C=C65)C(=O)N(*)C7=O)C4=O)C=C3C2C2=C1C=C1C=C3C(=CC1=C2)C(C)(C)CCC3(C)C
SLP8022,*C1=CC(N2C(=O)C3=CC=C(OC4=CC=C5C(=O)N(*)C(=O)C5=C4)C=C3C2=O)=CC=C1
SLP7507,*C1=CC(C(C2=CC(N3C(=O)C4=C(C=C(OC5=CC=C6C(=O)N(*)C(=O)C6=C5)C=C4)C3=O)=C(O)C=C2)(C(F)(F)F)C(F)(F)F)=CC=C1O
SLP35154,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=O)c3nc4c(cc3C2=O)C(=O)N(*)C4=O)c1
SLP35142,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=N)c3cc4c(cc3C2=O)C(=O)N(*)C4=O)c1
SLP27361,*c1ccc(Oc2ccc(N3C(=O)c4ccc(Cc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1
SLP9287,*C1=CC=CC2=C(N3C(=O)C4=C(C=C5C(=C4)C(=O)C4CC5C(=O)C5=C4C=C4C(=O)N(*)C(=O)C4=C5)C3=O)C=CC=C12
SLP7692,*C1=CC(C)=C(N2C(=O)C3=C(C=C(OC4=CC=C5C(=O)N(*)C(=O)C5=C4)C=C3)C2=O)C=C1C
SLP8026,*C1=CC(N2C(=O)C3=CC=CC4=C(C5=CC=C6C(=O)N(*)C(=O)C7=C6C5=CC=C7)C=CC(=C34)C2=O)=CC=C1
SLP24493,*c1ccc(-c2ccccc2)c(Cc2ccccc2-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(C)(C)C)C(C)(C)C)cc4C3=O)cc2)c1
