gas,domain,candidate_group,n_candidates,n_valid_smiles,n_in_domain,fraction_in_domain,max_tanimoto_q05,max_tanimoto_median,max_tanimoto_q95,similarity_threshold
O2,ladder,All candidates,77246,77233,23035,0.29825333730400216,0.08333333333333333,0.3118279569892473,0.6144578313253012,0.3845762711864407
O2,ladder,Selected candidates,22,22,22,1.0,0.4114961610292592,0.5296544035674471,0.6663978494623656,0.3845762711864407
O2,ladder,DiT,64791,64778,16824,0.2597178054277687,0.08,0.2976190476190476,0.5818181818181818,0.3845762711864407
O2,ladder,LLM,3198,3198,1582,0.49468417761100686,0.17591066341066341,0.3819203268641471,0.8227229601518024,0.3845762711864407
O2,ladder,Rule-based,9257,9257,4629,0.5000540131792157,0.25,0.38461538461538464,0.6461538461538462,0.3845762711864407
O2,hybrid,All candidates,77246,77233,21689,0.2808255538435643,0.10897435897435898,0.3181818181818182,0.6342512457382623,0.40071428571428575
O2,hybrid,Selected candidates,22,22,22,1.0,0.44441548771407297,0.6015873015873016,0.8905496828752643,0.40071428571428575
O2,hybrid,DiT,64791,64778,15899,0.24543826607798944,0.10526315789473684,0.30337078651685395,0.5970149253731343,0.40071428571428575
O2,hybrid,LLM,3198,3198,1532,0.4790494058786742,0.2,0.391304347826087,0.8235294117647058,0.40071428571428575
O2,hybrid,Rule-based,9257,9257,4258,0.4599762342011451,0.2641509433962264,0.3894736842105263,0.6833333333333333,0.40071428571428575
N2,ladder,All candidates,77246,77233,22237,0.2879209664262686,0.08333333333333333,0.3125,0.6197183098591549,0.38898305084745766
N2,ladder,Selected candidates,22,22,22,1.0,0.4114961610292592,0.540045766590389,0.8796969696969695,0.38898305084745766
N2,ladder,DiT,64791,64778,16244,0.25076414832196114,0.08,0.2978723404255319,0.5882352941176471,0.38898305084745766
N2,ladder,LLM,3198,3198,1560,0.4878048780487805,0.1775474826650588,0.3835616438356164,0.8235294117647058,0.38898305084745766
N2,ladder,Rule-based,9257,9257,4433,0.4788808469266501,0.25,0.38271604938271603,0.6515151515151515,0.38898305084745766
N2,hybrid,All candidates,77246,77233,20542,0.2659743891859697,0.10891089108910891,0.3185840707964602,0.6376811594202898,0.40993249758919964
N2,hybrid,Selected candidates,22,22,21,0.9545454545454546,0.44441548771407297,0.6015873015873016,0.9322503725782414,0.40993249758919964
N2,hybrid,DiT,64791,64778,15015,0.23179165766155177,0.10526315789473684,0.3037974683544304,0.6021505376344086,0.40993249758919964
N2,hybrid,LLM,3198,3198,1486,0.4646654158849281,0.2,0.3918918918918919,0.8236842105263154,0.40993249758919964
N2,hybrid,Rule-based,9257,9257,4041,0.43653451442151886,0.2647058823529412,0.3888888888888889,0.6935483870967742,0.40993249758919964
H2,ladder,All candidates,77246,77233,34963,0.45269509147644144,0.08333333333333333,0.3103448275862069,0.6111111111111112,0.3252767134951043
H2,ladder,Selected candidates,22,22,22,1.0,0.4114961610292592,0.5296544035674471,0.8779020979020977,0.3252767134951043
H2,ladder,DiT,64791,64778,26426,0.40794714254839604,0.07971014492753623,0.2956521739130435,0.5813953488372093,0.3252767134951043
H2,ladder,LLM,3198,3198,2016,0.6303939962476548,0.175,0.375,0.8253968253968254,0.3252767134951043
H2,ladder,Rule-based,9257,9257,6521,0.7044398833315328,0.25,0.38095238095238093,0.6349206349206349,0.3252767134951043
H2,hybrid,All candidates,77246,77233,28227,0.36547848717517123,0.10465116279069768,0.3153153153153153,0.6410256410256411,0.36363636363636365
H2,hybrid,Selected candidates,22,22,22,1.0,0.44441548771407297,0.6015873015873016,0.9322503725782414,0.36363636363636365
H2,hybrid,DiT,64791,64778,21176,0.32690110840100034,0.10126582278481013,0.3,0.6075949367088608,0.36363636363636365
H2,hybrid,LLM,3198,3198,1732,0.541588492808005,0.1951219512195122,0.38119783996072654,0.8305084745762712,0.36363636363636365
