gas,domain,n_unique_training_structures,threshold_quantile,similarity_threshold,fingerprint,radius,n_bits,training_loo_similarity_min,training_loo_similarity_median,training_loo_similarity_max
O2,ladder,34,0.05,0.3845762711864407,Morgan,2,2048,0.3275862068965517,0.6384630899556272,0.8
O2,hybrid,504,0.05,0.40071428571428575,Morgan,2,2048,0.17647058823529413,0.7402333840690005,1.0
N2,ladder,36,0.05,0.38898305084745766,Morgan,2,2048,0.3275862068965517,0.6410256410256411,0.9180327868852459
N2,hybrid,502,0.05,0.40993249758919964,Morgan,2,2048,0.1276595744680851,0.7421182266009853,1.0
H2,ladder,34,0.05,0.3252767134951043,Morgan,2,2048,0.28735632183908044,0.6906207827260459,0.9180327868852459
H2,hybrid,330,0.05,0.36363636363636365,Morgan,2,2048,0.11904761904761904,0.7327380952380952,1.0
CH4,ladder,36,0.05,0.38898305084745766,Morgan,2,2048,0.3275862068965517,0.6410256410256411,0.9180327868852459
CH4,hybrid,440,0.05,0.41660256410256413,Morgan,2,2048,0.1282051282051282,0.7538461538461538,1.0
CO2,ladder,38,0.05,0.4505429864253394,Morgan,2,2048,0.3275862068965517,0.6618046132971506,0.9180327868852459
CO2,hybrid,484,0.05,0.41206896551724137,Morgan,2,2048,0.2,0.7464285714285714,1.0
