candidate_id,generation_method,SMILES,canonical_SMILES,valid_smiles,selected,selection_id,O2_ladder_max_tanimoto,O2_ladder_nearest_pid,O2_ladder_nearest_polymer_type,O2_ladder_in_domain,O2_hybrid_max_tanimoto,O2_hybrid_nearest_pid,O2_hybrid_nearest_polymer_type,O2_hybrid_in_domain,N2_ladder_max_tanimoto,N2_ladder_nearest_pid,N2_ladder_nearest_polymer_type,N2_ladder_in_domain,N2_hybrid_max_tanimoto,N2_hybrid_nearest_pid,N2_hybrid_nearest_polymer_type,N2_hybrid_in_domain,H2_ladder_max_tanimoto,H2_ladder_nearest_pid,H2_ladder_nearest_polymer_type,H2_ladder_in_domain,H2_hybrid_max_tanimoto,H2_hybrid_nearest_pid,H2_hybrid_nearest_polymer_type,H2_hybrid_in_domain,CH4_ladder_max_tanimoto,CH4_ladder_nearest_pid,CH4_ladder_nearest_polymer_type,CH4_ladder_in_domain,CH4_hybrid_max_tanimoto,CH4_hybrid_nearest_pid,CH4_hybrid_nearest_polymer_type,CH4_hybrid_in_domain,CO2_ladder_max_tanimoto,CO2_ladder_nearest_pid,CO2_ladder_nearest_polymer_type,CO2_ladder_in_domain,CO2_hybrid_max_tanimoto,CO2_hybrid_nearest_pid,CO2_hybrid_nearest_polymer_type,CO2_hybrid_in_domain
POLYLAND-009725,DiT,*c1ccc(-c2ccccc2)c(Cc2ccccc2-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(C)(C)C)C(C)(C)C)cc4C3=O)cc2)c1,*c1ccc(-c2ccccc2)c(Cc2ccccc2-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(C)(C)C)C(C)(C)C)cc4C3=O)cc2)c1,True,True,SLP24493,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True,0.609375,LP100,semi-ladder,True
POLYLAND-011147,DiT,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=N)c3cc4c(cc3C2=O)C(=O)N(*)C4=O)c1,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=N)c3cc4c(cc3C2=O)C(=O)N(*)C4=O)c1,True,True,SLP35142,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.5079365079365079,LP78,semi-ladder,True,0.38571428571428573,LP100,semi-ladder,False,0.5,Perm75,Polyimides and Polypyrrolones,True
POLYLAND-014476,DiT,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=C)C(=O)N(*)C6=O)cc3C2c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=C)C(=O)N(*)C6=O)cc3C2c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,True,True,SLP30549,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,True,0.4430379746835443,LP100,semi-ladder,False,0.4430379746835443,LP100,semi-ladder,True
POLYLAND-028130,DiT,*c1ccc2c(c1)C1C(C)(C)c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3C21C,*c1ccc2c(c1)C1C(C)(C)c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3C21C,True,True,SLP29977,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True,0.6307692307692307,LP100,semi-ladder,True
POLYLAND-039324,DiT,*c1cccc(C2c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3Cc3cc4cc5c(cc4cc32)C(C)(C)CCC5(C)C)c1,*c1cccc(C2c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(C)(C)C)C(C)(C)C)cc5C4=O)cc3Cc3cc4cc5c(cc4cc32)C(C)(C)CCC5(C)C)c1,True,True,SLP34874,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True,0.5454545454545454,LP100,semi-ladder,True
POLYLAND-049397,DiT,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=O)c3nc4c(cc3C2=O)C(=O)N(*)C4=O)c1,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2CC(C4=O)c3nc4c(cc3C2=O)C(=O)N(*)C4=O)c1,True,True,SLP35154,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.47058823529411764,LP78,semi-ladder,True,0.36,LP100,semi-ladder,False,0.45901639344262296,Perm75,Polyimides and Polypyrrolones,True
POLYLAND-055520,DiT,*c1ccc(Oc2ccc(N3C(=O)c4ccc(Cc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,*c1ccc(Oc2ccc(N3C(=O)c4ccc(Cc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,True,True,SLP27361,0.4444444444444444,LP66,semi-ladder,True,0.8837209302325582,Perm73,Polyimides and Polypyrrolones,True,0.4444444444444444,LP66,semi-ladder,True,0.8837209302325582,Perm73,Polyimides and Polypyrrolones,True,0.4444444444444444,LP66,semi-ladder,True,0.8837209302325582,Perm73,Polyimides and Polypyrrolones,True,0.4444444444444444,LP66,semi-ladder,True,0.8837209302325582,Perm91,Polyimides and Polypyrrolones,True,0.4444444444444444,LP66,semi-ladder,False,0.8837209302325582,Perm91,Polyimides and Polypyrrolones,True
POLYLAND-060523,DiT,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=O)C(=O)N(*)C6=O)cc3C2c2ccc3c(c21)C=C1C(C3)C(C)(C)CCC1(C)C,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=O)C(=O)N(*)C6=O)cc3C2c2ccc3c(c21)C=C1C(C3)C(C)(C)CCC1(C)C,True,True,SLP30577,0.40229885057471265,LP100,semi-ladder,True,0.4024390243902439,Perm328,Polymers with High Free Volume,True,0.40229885057471265,LP100,semi-ladder,True,0.4024390243902439,Perm328,Polymers with High Free Volume,False,0.40229885057471265,LP100,semi-ladder,True,0.4024390243902439,Perm328,Polymers with High Free Volume,True,0.40229885057471265,LP100,semi-ladder,True,0.4024390243902439,Perm328,Polymers with High Free Volume,False,0.40229885057471265,LP100,semi-ladder,False,0.4024390243902439,Perm328,Polymers with High Free Volume,False
POLYLAND-066203,LLM,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C,*c1ccc2c(c1)C1(C)c3ccccc3C2(C)c2cc(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)N(*)C6=O)CC5(C)C)ccc21,True,True,SLP76531,0.6666666666666666,LP40,semi-ladder,True,0.84,Perm328,Polymers with High Free Volume,True,0.6666666666666666,LP40,semi-ladder,True,0.84,Perm328,Polymers with High Free Volume,True,0.4444444444444444,LP104,semi-ladder,True,0.84,Perm328,Polymers with High Free Volume,True,0.6666666666666666,LP40,semi-ladder,True,0.84,Perm328,Polymers with High Free Volume,True,0.5396825396825397,LP70,semi-ladder,True,0.84,Perm328,Polymers with High Free Volume,True
POLYLAND-066389,LLM,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)c7ccccc67)cc5C4=O)cc3C(F)(F)F)c3c2C2c4ccccc4C3c3ccccc32)c(C(F)(F)F)c1,True,True,SLP77110,0.4605263157894737,LP100,semi-ladder,True,0.6197183098591549,Perm734,Polyimides and Polypyrrolones,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True,0.9344262295081968,LP76,Linear,True
POLYLAND-067924,LLM,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C,*c1ccc2c(c1)C1c3ccccc3C2c2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(C)(C)C)C(C)(C)C)cc43)ccc21,True,True,SLP74737,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True,0.8909090909090909,LP100,semi-ladder,True
POLYLAND-068080,rule-based,*C1=CC(N2C(=O)C3=CC=CC4=C(C5=CC=C6C(=O)N(*)C(=O)C7=C6C5=CC=C7)C=CC(=C34)C2=O)=CC=C1,*c1cccc(N2C(=O)c3cccc4c(-c5ccc6c7c(cccc57)C(=O)N(*)C6=O)ccc(c34)C2=O)c1,True,True,SLP8026,0.4098360655737705,LP100,semi-ladder,True,0.6222222222222222,Perm75,Polyimides and Polypyrrolones,True,0.4098360655737705,LP100,semi-ladder,True,0.6222222222222222,Perm75,Polyimides and Polypyrrolones,True,0.4098360655737705,LP100,semi-ladder,True,0.6086956521739131,Perm92,Polyimides and Polypyrrolones,True,0.4098360655737705,LP100,semi-ladder,True,0.6222222222222222,Perm75,Polyimides and Polypyrrolones,True,0.4098360655737705,LP100,semi-ladder,False,0.6222222222222222,Perm75,Polyimides and Polypyrrolones,True
POLYLAND-068599,rule-based,*C1=CC=C2C(=C1)C1(C)CCC2(C)C2=C1C=CC(N1C(=O)C3=CC=C(C(C4=CC5=C(C=C4)C(=O)N(*)C5=O)(C(C)(C)C)C(C)(C)C)C=C3C1=O)=C2,*c1ccc2c(c1)C1(C)CCC2(C)c2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(C)(C)C)C(C)(C)C)cc4C3=O)ccc21,True,True,SLP8712,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True,0.6031746031746031,LP100,semi-ladder,True
POLYLAND-070648,rule-based,*C1=CC=C2C(=C1)C1C3=CC=C(N4C(=O)C5=C(C=C6C(=C5)C(=O)C5CC6C(=O)C6=C5C=C5C(=O)N(*)C(=O)C5=C6)C4=O)C=C3C2C2=CC3=CC4=C(C=C3C=C21)C(C)(C)CCC4(C)C,*c1ccc2c(c1)C1c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4CC(C6=O)c5cc6c(cc5C4=O)C(=O)N(*)C6=O)cc3C2c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,True,True,SLP8822,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True,0.4794520547945205,LP100,semi-ladder,True
